ID,Description
903651515495313408,"Proud Louisiana Cajun . Love America, the flag, the military and law enforcement and other conservatives. We need Pres. Trump. MAGA. Geaux LSU Tigers!"
945897666902396928,Not all who wander are lost ⚓
1159139952686489601,“You can observe a lot by just watching”  Yogi Berra
1205490150328782848,"#India First, Always...

Here for #SoniaGandhi, #RahulGandhi & #PriyankaGandhi.

50% Punjabi+25% Mallu+25% Maratha=100% Indian.

Alternate ID @samansutiya."
1334675837476593665,soignant decolissé du Ministère d'la Maladie pis des Services Antisociaux.
2863762227,"Suivez là, la situation du #COVID19 en #GUINEE #COVID19GN #Coronavirus"
